facility_id,facility_type,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
shelter_0,shelter,0.1097,0.6734,0.5022,0.3905,0.2994
shelter_1,shelter,0.5787,0.0008,0.5254,0.8065,0.3341
shelter_2,shelter,0.0574,0.5521,0.3959,0.5821,0.2783
shelter_3,shelter,0.5118,0.3832,0.5423,0.8684,0.6544
shelter_4,shelter,0.0339,0.0357,0.3909,0.2744,0.0519
shelter_5,shelter,0.3984,0.7205,0.5778,0.3789,0.483
shelter_6,shelter,0.0339,0.0357,0.3909,0.2744,0.0519
shelter_7,shelter,0.0712,0.246,0.3801,0.4178,0.1673
shelter_8,shelter,0.5574,0.114,0.3724,0.715,0.4945
shelter_9,shelter,0.5053,0.1002,0.2573,0.7142,0.4391
shelter_10,shelter,0.7402,0.929,0.7565,0.8195,0.8716
shelter_11,shelter,0.5787,0.0008,0.5254,0.8065,0.3341
shelter_12,shelter,0.9233,0.6761,0.9785,0.8775,0.9278
shelter_13,shelter,0.1893,0.3172,0.4333,0.4075,0.2588
shelter_14,shelter,0.5118,0.3832,0.5423,0.8684,0.6544
shelter_15,shelter,0.5787,0.0008,0.5254,0.8065,0.3341
shelter_16,shelter,0.7592,0.7858,0.726,0.5586,0.7542
shelter_17,shelter,0.703,0.2876,0.6445,0.9899,0.8278
shelter_18,shelter,0.5195,0.8915,0.4961,0.8193,0.74
shelter_19,shelter,0.0339,0.0357,0.3909,0.2744,0.0519
shelter_20,shelter,0.703,0.2876,0.6445,0.9899,0.8278
shelter_21,shelter,0.7799,0.744,0.4994,0.5448,0.7221
shelter_22,shelter,0.6373,0.0004,0.4736,0.7586,0.3101
shelter_23,shelter,0.5195,0.8915,0.4961,0.8193,0.74
shelter_24,shelter,0.0712,0.246,0.3801,0.4178,0.1673
shelter_25,shelter,0.4353,0.6229,0.2238,0.9493,0.6755
shelter_26,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_27,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_28,shelter,0.2826,0.3045,0.0583,0.2325,0.1862
shelter_29,shelter,0.4353,0.6229,0.2238,0.9493,0.6755
shelter_30,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_31,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_32,shelter,0.4353,0.6229,0.2238,0.9493,0.6755
shelter_33,shelter,0.4353,0.6229,0.2238,0.9493,0.6755
shelter_34,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_35,shelter,0.5085,0.687,0.2955,0.6276,0.5759
shelter_36,shelter,0.7795,0.4195,0.4892,0.6351,0.6838
shelter_37,shelter,0.9014,0.9282,0.536,0.9365,0.9438
shelter_38,shelter,0.9014,0.9282,0.536,0.9365,0.9438
shelter_39,shelter,0.3199,0.0404,0.3724,0.7355,0.3264
shelter_40,shelter,0.6014,0.9211,0.45,0.7128,0.7379
shelter_41,shelter,0.8217,0.9018,0.1415,0.6406,0.7722
