storm_id,storm_name,datetime_utc,status,lat,lon,vmax_kt,mslp_mb
AL112017,IRMA,2017-08-30 00:00:00+00:00,TD,16.1,-26.9,30,1008
AL112017,IRMA,2017-08-30 06:00:00+00:00,TS,16.2,-28.3,35,1007
AL112017,IRMA,2017-08-30 12:00:00+00:00,TS,16.3,-29.7,45,1006
AL112017,IRMA,2017-08-30 18:00:00+00:00,TS,16.3,-30.8,50,1004
AL112017,IRMA,2017-08-31 00:00:00+00:00,TS,16.3,-31.7,55,999
AL112017,IRMA,2017-08-31 06:00:00+00:00,HU,16.4,-32.5,65,994
AL112017,IRMA,2017-08-31 12:00:00+00:00,HU,16.7,-33.4,80,983
AL112017,IRMA,2017-08-31 18:00:00+00:00,HU,17.1,-34.2,95,970
AL112017,IRMA,2017-09-01 00:00:00+00:00,HU,17.5,-35.1,100,967
AL112017,IRMA,2017-09-01 06:00:00+00:00,HU,17.9,-36.1,100,967
AL112017,IRMA,2017-09-01 12:00:00+00:00,HU,18.4,-37.3,100,967
AL112017,IRMA,2017-09-01 18:00:00+00:00,HU,18.8,-38.5,100,967
AL112017,IRMA,2017-09-02 00:00:00+00:00,HU,19.1,-39.7,100,967
AL112017,IRMA,2017-09-02 06:00:00+00:00,HU,19.1,-41.1,100,967
AL112017,IRMA,2017-09-02 12:00:00+00:00,HU,18.9,-42.6,95,973
AL112017,IRMA,2017-09-02 18:00:00+00:00,HU,18.7,-44.1,95,973
AL112017,IRMA,2017-09-03 00:00:00+00:00,HU,18.5,-45.5,95,973
AL112017,IRMA,2017-09-03 06:00:00+00:00,HU,18.2,-46.7,95,973
AL112017,IRMA,2017-09-03 12:00:00+00:00,HU,17.9,-47.9,100,969
AL112017,IRMA,2017-09-03 18:00:00+00:00,HU,17.6,-49.2,100,965
AL112017,IRMA,2017-09-04 00:00:00+00:00,HU,17.3,-50.4,100,959
AL112017,IRMA,2017-09-04 06:00:00+00:00,HU,17.0,-51.5,105,952
AL112017,IRMA,2017-09-04 12:00:00+00:00,HU,16.8,-52.6,110,945
AL112017,IRMA,2017-09-04 18:00:00+00:00,HU,16.7,-53.9,115,944
AL112017,IRMA,2017-09-05 00:00:00+00:00,HU,16.6,-55.1,125,943
AL112017,IRMA,2017-09-05 06:00:00+00:00,HU,16.6,-56.4,135,933
AL112017,IRMA,2017-09-05 12:00:00+00:00,HU,16.7,-57.8,150,929
AL112017,IRMA,2017-09-05 18:00:00+00:00,HU,16.9,-59.2,155,926
AL112017,IRMA,2017-09-06 00:00:00+00:00,HU,17.3,-60.6,155,915
AL112017,IRMA,2017-09-06 06:00:00+00:00,HU,17.7,-61.9,155,914
AL112017,IRMA,2017-09-06 12:00:00+00:00,HU,18.1,-63.3,155,915
AL112017,IRMA,2017-09-06 18:00:00+00:00,HU,18.6,-64.7,150,916
AL112017,IRMA,2017-09-07 00:00:00+00:00,HU,19.2,-66.2,150,916
AL112017,IRMA,2017-09-07 06:00:00+00:00,HU,19.7,-67.6,145,920
AL112017,IRMA,2017-09-07 12:00:00+00:00,HU,20.2,-69.0,145,921
AL112017,IRMA,2017-09-07 18:00:00+00:00,HU,20.7,-70.4,145,922
AL112017,IRMA,2017-09-08 00:00:00+00:00,HU,21.1,-71.8,140,919
AL112017,IRMA,2017-09-08 06:00:00+00:00,HU,21.5,-73.2,135,925
AL112017,IRMA,2017-09-08 12:00:00+00:00,HU,21.8,-74.7,135,927
AL112017,IRMA,2017-09-08 18:00:00+00:00,HU,22.0,-76.0,140,925
AL112017,IRMA,2017-09-09 00:00:00+00:00,HU,22.1,-77.2,145,924
AL112017,IRMA,2017-09-09 06:00:00+00:00,HU,22.4,-78.3,130,930
AL112017,IRMA,2017-09-09 12:00:00+00:00,HU,22.7,-79.3,110,941
AL112017,IRMA,2017-09-09 18:00:00+00:00,HU,23.1,-80.2,95,938
AL112017,IRMA,2017-09-10 00:00:00+00:00,HU,23.4,-80.9,100,932
AL112017,IRMA,2017-09-10 06:00:00+00:00,HU,23.7,-81.3,115,930
AL112017,IRMA,2017-09-10 12:00:00+00:00,HU,24.5,-81.5,115,931
AL112017,IRMA,2017-09-10 18:00:00+00:00,HU,25.6,-81.7,100,936
AL112017,IRMA,2017-09-11 00:00:00+00:00,HU,26.8,-81.7,80,942
AL112017,IRMA,2017-09-11 06:00:00+00:00,HU,28.2,-82.2,65,961
AL112017,IRMA,2017-09-11 12:00:00+00:00,TS,29.6,-82.7,50,970
AL112017,IRMA,2017-09-11 18:00:00+00:00,TS,30.9,-83.5,45,980
AL112017,IRMA,2017-09-12 00:00:00+00:00,TS,31.9,-84.4,35,986
AL112017,IRMA,2017-09-12 06:00:00+00:00,LO,32.9,-85.6,25,997
AL112017,IRMA,2017-09-12 12:00:00+00:00,LO,33.8,-86.9,20,1000
AL112017,IRMA,2017-09-12 18:00:00+00:00,LO,34.8,-88.1,15,1003
AL112017,IRMA,2017-09-13 00:00:00+00:00,LO,35.6,-88.9,15,1004
AL112017,IRMA,2017-09-13 06:00:00+00:00,LO,36.2,-89.5,15,1004
AL112017,IRMA,2017-09-13 12:00:00+00:00,LO,36.8,-90.1,15,1005
