"OBJECTID_1","OBJECTID","HAZUSID","Name","Address","City","Zip","COUNTY","X","Y","LONGLAT","USNG","OWNERSHIP","PARCELID","FACILITY_T","TTL_BEDS","EFCLASS","Asset_Elevation","Owned_Maintained","Asset","Asset_Sub_Type","Asset_Type","Asset_Group","Asset_Relevancy","Asset_ID","Municipality","Water_Management_District","Souce_Dataset_Entity","Souce_Dataset_Name","Source_Asset_ID","Restricted_Public_Disclosure","Notes","Regional_Planning_Council","FDEP_Regulatory_District","RCP_Region","FDOT_District","House_District_Number","Senate_District_Number","CTF_RL_2020","CTF_RL_2040_IL","CTF_RL_2040_INT","CTF_RL_2070_IL","CTF_RL_2070_INT","SSF_RL_100YR_CURR","SSF_RL_100YR_2040_IL","SSF_RL_100YR_2040_INT","SSF_RL_100YR_2070_IL","SSF_RL_100YR_2070_INT","SSF_RL_500YR_CURR","SSF_RL_500YR_2040_IL","SSF_RL_500YR_2040_INT","SSF_RL_500YR_2070_IL","SSF_RL_500YR_2070_INT","RIF_RL_100YR_2020","RIF_RL_100YR_2040","RIF_RL_100YR_2070","RIF_RL_500YR_2020","RIF_RL_500YR_2040","RIF_RL_500YR_2070"
"1","1"," ","SHANDS REHAB HOSPITAL","4101 NW 89TH BLVD","GAINESVILLE","32606","Alachua","-82.43666336","29.69219137","-82.43666336,29.69219137","17R LN 61004 85541"," "," ","HOSPITAL","40","EFHS",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_1",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"North Central Florida","Northeast District","Northwest","2","10","6","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","High","High","High","High","High","High"
"2","2"," ","SHANDS AT VISTA","4101 NW 89TH BLVD","GAINESVILLE","32606","Alachua","-82.43663653","29.69147585","-82.43663653,29.69147585","17R LN 61005 85462"," "," ","HOSPITAL","81","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_2",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"North Central Florida","Northeast District","Northwest","2","10","6","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"3","3"," ","SELECT SPECIALTY HOSPITAL - G'VILLE","2708 SW ARCHER RD","GAINESVILLE","32608","Alachua","-82.3643204","29.63211699","-82.36432040,29.63211699","17R LN 67925 78799"," "," ","HOSPITAL","44","EFHS",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_3","Gainesville","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"North Central Florida","Northeast District","Northwest","2","22","6","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"4","4"," ","NORTH FLORIDA REGIONAL MEDICAL CNTR","6500 NEWBERRY RD","GAINESVILLE","32605","Alachua","-82.4122","29.659756","-82.41220000,29.65975600","17R LN 63327 81918"," "," ","HOSPITAL - ACUTE CARE","432","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_4","Gainesville","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"North Central Florida","Northeast District","Northwest","2","22","6","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"5","5"," ","SHANDS HOSPITAL AT U of F","1600 SW ARCHER RD","GAINESVILLE","32610","Alachua","-82.34326474","29.63975339","-82.34326474,29.63975339","17R LN 69973 79622"," "," ","HOSPITAL - TRAUMA","875","EFHL",,,"HOSPITAL - TRAUMA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_5","Gainesville","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"North Central Florida","Northeast District","Northwest","2","22","6","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","High","High","High","High","High","High"
"6","6"," ","MALCOM RANDALL VA MEDI CNTR","1601 S.W. ARCHER ROAD","GAINESVILLE","32608","Alachua","-82.34719","29.63595","-82.34719000,29.63595000","17R LN 69588 79205"," "," ","HOSPITAL - VA","240","EFHL",,,"HOSPITAL - VA",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_6","Gainesville","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"North Central Florida","Northeast District","Northwest","2","21","9","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"7","7"," ","ED FRASER MEMORIAL HOSP","159 N 3RD ST","MACCLENNY","32063","Baker","-82.11899623","30.28609904","-82.11899623,30.28609904","17R LP 92382 51018"," "," ","HOSPITAL - ACUTE CARE","25","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_7","Macclenny","St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Northeast Florida","Northeast District","Northwest","2","10","6","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"8","8"," ","NORTHEAST FLORIDA STATE HOSP","7487 S STATE RD 121","MACCLENNY","32063","Baker","-82.14480384","30.22716751","-82.14480384,30.22716751","17R LP 89835 44511"," "," ","HOSPITAL","1138","EFHL",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_8",,"St. Johns River Water Management District","FDEM","Hospitals - FDEM",,,,"Northeast Florida","Northeast District","Northwest","2","10","6","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"9","9"," ","HEALTHSOUTH EMERALD COAST REHAB HOSP","1847 FLORIDA AVE","PANAMA CITY","32405","Bay","-85.66885702","30.18203065","-85.66885702,30.18203065","16R FU 28156 39704"," "," ","HOSPITAL","75","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_9","Panama City","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Emerald Coast","Northwest District","Northwest","3","6","2","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"10","10"," ","EMERALD COAST BEHAVIORAL HOSP","1940 HARRISON AVE","PANAMA CITY","32405","Bay","-85.65869064","30.18402124","-85.65869064,30.18402124","16R FU 29132 39936"," "," ","HOSPITAL","86","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_10","Panama City","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Emerald Coast","Northwest District","Northwest","3","6","2","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
