FIPS,lat,lon,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,shelter_count_nearby,shelter_capacity_nearby,hospital_count_nearby,hospital_beds_nearby,school_count_nearby,school_capacity_nearby,node_type
12001000201,29.6545448945216,-82.33374147370841,0.2704,0.5495,0.0024,0.4077,0.6982,17,0.0,6,0.0,74,0.0,grid
12001000202,29.646141850405744,-82.33297137138345,0.3791,0.7495,0.0006,0.4254,0.7609,17,0.0,6,0.0,74,0.0,grid
12001000301,29.666673146986987,-82.33120220901512,0.6544,0.5118,0.3832,0.5423,0.8684,17,0.0,6,0.0,74,0.0,grid
12001000302,29.68355091303941,-82.33049270473684,0.4292,0.488,0.3051,0.5136,0.4241,18,0.0,6,0.0,78,0.0,grid
12001000400,29.67776978638575,-82.3078995887777,0.7781,0.6217,0.8306,0.6124,0.8108,18,0.0,6,0.0,75,0.0,grid
12001000500,29.65674861556477,-82.31721782209982,0.4391,0.5053,0.1002,0.2573,0.7142,17,0.0,6,0.0,74,0.0,grid
12001000600,29.65305703649782,-82.28803936800617,0.9278,0.9233,0.6761,0.9785,0.8775,18,0.0,6,0.0,75,0.0,grid
12001000700,29.62504674098233,-82.2911849746873,0.8716,0.7402,0.929,0.7565,0.8195,18,0.0,6,0.0,76,0.0,grid
12001000806,29.639901880523134,-82.33213029222459,0.6718,0.628,0.0621,0.5791,0.9629,17,0.0,6,0.0,74,0.0,grid
12001000808,29.626921830791083,-82.33297740458474,0.7243,0.646,0.2444,0.6388,0.9254,17,0.0,6,0.0,75,0.0,grid
12001000809,29.63068444402566,-82.34647845262101,0.4546,0.5819,0.0294,0.503,0.7197,17,0.0,6,0.0,75,0.0,grid
12001000901,29.643595195500062,-82.36257551816351,0.3341,0.5787,0.0008,0.5254,0.8065,17,0.0,6,0.0,76,0.0,grid
12001000902,29.645640613659666,-82.34693052338142,0.3101,0.6373,0.0004,0.4736,0.7586,17,0.0,6,0.0,75,0.0,grid
12001001000,29.65870931407075,-82.35643921332307,0.3112,0.6903,0.0026,0.337,0.6316,17,0.0,6,0.0,77,0.0,grid
12001001100,29.676001241316527,-82.36728380635051,0.2769,0.173,0.1404,0.337,0.6708,17,0.0,6,0.0,79,0.0,grid
12001001201,29.69643369524283,-82.37980891576291,0.1562,0.2763,0.1582,0.337,0.1615,18,0.0,6,0.0,80,0.0,grid
12001001202,29.694290292951106,-82.3592335561972,0.0801,0.071,0.0282,0.4429,0.3462,17,0.0,6,0.0,79,0.0,grid
12001001203,29.688076054880614,-82.34451118740485,0.2809,0.5014,0.0286,0.5333,0.3698,18,0.0,6,0.0,79,0.0,grid
12001001400,29.658055669358248,-82.25793402919135,0.7542,0.7592,0.7858,0.726,0.5586,18,0.0,6,0.0,75,0.0,grid
12001001514,29.63348319348624,-82.36357001034766,0.459,0.6907,0.0069,0.5514,0.7795,18,0.0,6,0.0,77,0.0,grid
12001001515,29.624891500141636,-82.36416989531051,0.2882,0.8045,0.0034,0.563,0.2621,18,0.0,6,0.0,77,0.0,grid
12001001516,29.61655473293868,-82.35888057939756,0.5073,0.8726,0.0103,0.5598,0.5576,18,0.0,6,0.0,77,0.0,grid
12001001517,29.61370381666006,-82.3674085163833,0.4726,0.5864,0.0128,0.7069,0.7846,18,0.0,6,0.0,77,0.0,grid
12001001519,29.61426874582701,-82.376825413053,0.5126,0.6529,0.0057,0.7571,0.8779,18,0.0,6,0.0,77,0.0,grid
12001001522,29.631619019311135,-82.38295330396055,0.5061,0.6592,0.0138,0.5146,0.8227,18,0.0,6,0.0,78,0.0,grid
12001001605,29.65009945615227,-82.39265757275436,0.4239,0.6418,0.0073,0.4596,0.7872,18,0.0,6,0.0,84,0.0,grid
12001001701,29.681848406801613,-82.41446861130157,0.5807,0.3385,0.369,0.462,0.9207,21,0.0,6,0.0,85,0.0,grid
12001001702,29.666786424675198,-82.40099680386915,0.3185,0.4671,0.4456,0.2226,0.2016,21,0.0,6,0.0,83,0.0,grid
12001001802,29.789929158118046,-82.40912151173963,0.5174,0.4089,0.6992,0.6344,0.4629,16,0.0,6,0.0,73,0.0,grid
12001001803,29.717137607061666,-82.37522953506722,0.483,0.3984,0.7205,0.5778,0.3789,18,0.0,6,0.0,80,0.0,grid
12001001811,29.699653707688157,-82.42643986128894,0.4294,0.0868,0.6992,0.5089,0.756,21,0.0,6,0.0,83,0.0,grid
12001001813,29.725918308536205,-82.41870200384261,0.0574,0.0422,0.4365,0.364,0.0438,19,0.0,6,0.0,79,0.0,grid
12001001815,29.89144942497536,-82.51093691964802,0.3477,0.4673,0.0909,0.2238,0.5398,7,0.0,1,0.0,15,0.0,grid
12001001816,29.847542965963086,-82.48292498528394,0.74,0.5195,0.8915,0.4961,0.8193,4,0.0,3,0.0,21,0.0,grid
12001001817,29.750823347448243,-82.45507901293264,0.103,0.0454,0.2302,0.3348,0.2767,21,0.0,6,0.0,82,0.0,grid
12001001818,29.779029606145244,-82.61161683135626,0.141,0.2945,0.1114,0.2317,0.1799,11,0.0,2,0.0,21,0.0,grid
12001001819,29.764290301922237,-82.53051288228617,0.2333,0.0986,0.2079,0.3583,0.6014,10,0.0,3,0.0,41,0.0,grid
12001001902,29.69139526877226,-82.28606875568659,0.9909,0.9688,0.9335,0.7366,0.9911,18,0.0,6,0.0,72,0.0,grid
12001001907,29.745106271815338,-82.15498664770233,0.429,0.5791,0.8256,0.1746,0.1391,12,0.0,0,0.0,47,0.0,grid
12001001908,29.79295846118911,-82.28304491218339,0.4945,0.5574,0.114,0.3724,0.715,13,0.0,6,0.0,60,0.0,grid
12001002001,29.567107453449335,-82.15655075420503,0.4665,0.76,0.1343,0.1185,0.4465,8,0.0,2,0.0,40,0.0,grid
12001002002,29.616491596396184,-82.1019171083833,0.7221,0.7799,0.744,0.4994,0.5448,6,0.0,0,0.0,19,0.0,grid
12001002101,29.532953835117958,-82.24627171080374,0.1799,0.2923,0.0799,0.31,0.3112,13,0.0,3,0.0,57,0.0,grid
12001002102,29.510147753509514,-82.34568791629125,0.4596,0.6209,0.2073,0.4132,0.4406,21,0.0,5,0.0,68,0.0,grid
12001002201,29.69061470237606,-82.55178420274471,0.2994,0.1097,0.6734,0.5022,0.3905,16,0.0,4,0.0,48,0.0,grid
12001002202,29.610233685378734,-82.52717015675898,0.1673,0.0712,0.246,0.3801,0.4178,23,0.0,6,0.0,51,0.0,grid
12001002204,29.683423028784286,-82.46930098593897,0.2783,0.0574,0.5521,0.3959,0.5821,22,0.0,6,0.0,85,0.0,grid
12001002207,29.645275710029047,-82.43079168042905,0.0323,0.0179,0.0992,0.3742,0.1298,21,0.0,6,0.0,84,0.0,grid
12001002208,29.64533464193908,-82.45576751907247,0.1292,0.1162,0.2371,0.3051,0.2394,22,0.0,6,0.0,85,0.0,grid
12001002209,29.526146990936084,-82.46655984208023,0.2588,0.1893,0.3172,0.4333,0.4075,26,0.0,7,0.0,56,0.0,grid
12001002210,29.60879177539528,-82.61121250253451,0.3901,0.4124,0.4385,0.498,0.3284,18,0.0,2,0.0,26,0.0,grid
12001002217,29.64980945682942,-82.41553923642623,0.7454,0.7189,0.4606,0.7037,0.7935,21,0.0,6,0.0,84,0.0,grid
12001002218,29.63912616153742,-82.41662012895137,0.7393,0.8091,0.3209,0.7663,0.7168,21,0.0,6,0.0,86,0.0,grid
12001002219,29.62065025187574,-82.40791589431505,0.8278,0.703,0.2876,0.6445,0.9899,21,0.0,6,0.0,79,0.0,grid
12001002220,29.58941006404373,-82.38926420665724,0.3286,0.3688,0.1116,0.3813,0.5369,18,0.0,6,0.0,76,0.0,grid
12001002221,29.61159171724687,-82.43059691981551,0.0554,0.132,0.0793,0.3348,0.0807,21,0.0,6,0.0,80,0.0,grid
12001002222,29.604970904494774,-82.45673593784402,0.0519,0.0339,0.0357,0.3909,0.2744,21,0.0,6,0.0,80,0.0,grid
12001110800,29.607001911757628,-82.35236300551698,0.5615,0.4122,0.2811,0.2063,0.93,18,0.0,6,0.0,77,0.0,grid
12003040101,30.321058466794078,-82.09936699526881,0.5759,0.5085,0.687,0.2955,0.6276,12,0.0,2,0.0,13,0.0,grid
12003040102,30.202036566610026,-82.1416803073988,0.6755,0.4353,0.6229,0.2238,0.9493,13,0.0,2,0.0,17,0.0,grid
12003040201,30.3667416726966,-82.34287827068353,0.64,0.7994,0.1797,0.412,0.6826,0,0.0,0,0.0,0,0.0,grid
12003040202,30.301393863343744,-82.19868853893949,0.1862,0.2826,0.3045,0.0583,0.2325,11,0.0,2,0.0,10,0.0,grid
